,Country_Region,Confirmed,Deaths,Recovered,Active,Incident_Rate,Mortality_Rate,ISO3,Cases_28_Days,Deaths_28_Days
32,Switzerland,3497499,13564,,,40411.939614203664,0.38781998222158176,CHE,642290,439
33,Canada,3489910,37653,,,9124.8761834799,1.0789103443928354,CAN,167696,825
34,Chile,3470936,56580,,,18157.031030577244,1.630107844108909,CHL,366315,14056
35,Denmark,3105402,5747,,,53200.08024377387,0.1850646067723277,DNK,251197,983
36,Greece,3030429,27510,,,29074.284931405917,0.907792263075624,GRC,554904,1482
37,Romania,2853570,65015,,,14833.23198709699,2.2783741068205794,ROU,101821,1326
38,Sweden,2487852,18365,,,24633.97849547541,0.7381869982619544,SWE,30272,834
39,Slovakia,2443137,19352,,,44749.02479887421,0.7920963908286764,SVK,284042,767
40,Iraq,2319550,25164,,,5766.796760509908,1.0848655989308271,IRQ,14126,150
41,Serbia,1976567,15799,,,22621.990370099928,0.7993151762626817,SRB,57945,473
42,Bangladesh,1951577,29122,,,1185.0047431412138,1.4922291049751049,BGD,6396,69
43,Hungary,1851871,45470,,,19169.81268794609,2.455354611633316,HUN,56097,1296
44,Jordan,1692485,14031,,,16587.883729910594,0.8290176870105199,JOR,54257,182
45,Georgia,1648264,16745,,,41318.4179686276,1.015917353045386,GEO,31637,508
46,Pakistan,1524793,30355,,,690.2878850963823,1.9907620247469653,PAK,13039,118
47,Ireland,1459425,6753,,,29556.202807892427,0.4627164808057968,IRL,147120,219
48,Norway,1405960,2518,,,25934.278528794694,0.1790947110870864,NOR,125038,854
49,Kazakhstan,1393786,19011,,,7422.952278053867,1.3639827060969187,KAZ,2509,53
50,China,1385098,12463,,,98.11013414875627,0.8997919280801792,CHN,845040,6540
51,Morocco,1163274,16060,,,3151.602313896203,1.3805861731629865,MAR,1924,58
52,Bulgaria,1138923,36529,,,16391.048644696762,3.207328326849137,BGR,41586,816
53,Croatia,1099176,15563,,,26774.768419503915,1.4158788037584518,HRV,38956,441
54,Singapore,1096428,1268,,,18741.260127824982,0.11564826874176873,SGP,323160,223
55,Lebanon,1092157,10303,,,16001.264093959044,0.9433625385361262,LBN,19240,182
